"","ABV","IBU"
"896",0.059,60
"897",0.046,15
"898",0.068,65
"899",0.059,60
"901",0.055,20
"902",0.08,70
"903",0.08,70
"904",0.059,60
"905",0.046,15
"906",0.07,11
"907",0.07,70
"908",0.06,18
"909",0.056,36
"910",0.093,103
"911",0.06,54
"912",0.06,64
"913",0.058,36
"914",0.055,40
"915",0.059,55
"916",0.054,30
"917",0.054,30
"918",0.042,18
"919",0.042,18
"920",0.042,20
"921",0.052,19
"926",0.043,21
"927",0.049,21
"928",0.055,35
"929",0.053,22
"930",0.057,18
"931",0.056,33
"932",0.062,60
"933",0.057,27
"934",0.053,22
"935",0.056,33
"936",0.057,25
"937",0.045,36
"938",0.057,18
"939",0.057,27
"940",0.06,25
"941",0.051,13
"942",0.075,65
"943",0.08,66
"944",0.056,33
"945",0.057,23
"946",0.042,26
"947",0.062,60
"948",0.053,22
"955",0.095,75
"958",0.045,15
"959",0.045,15
"960",0.052,49
"962",0.05,5
"963",0.07,22
"966",0.048,20
"967",0.05,30
"969",0.055,10
"970",0.054,30
"971",0.053,48
"972",0.09,99
"973",0.07,22
"974",0.07,70
"975",0.059,25
"976",0.048,25
"977",0.06,36
"978",0.053,48
"979",0.054,30
"980",0.05,30
"981",0.057,44
"982",0.067,71
"984",0.085,69
"986",0.06,54
"987",0.04,20
"989",0.06,34
"990",0.06,54
"991",0.049,22
"992",0.045,6
"994",0.05,25
"995",0.05,35
"996",0.065,25
"998",0.05,35
"999",0.04,55
"1001",0.063,43
"1002",0.069,67
"1012",0.07,40
"1013",0.052,18
"1014",0.046,17
"1015",0.043,14
"1016",0.075,70
"1017",0.044,18
"1018",0.056,55
"1019",0.052,15
"1020",0.062,45
"1022",0.05,28
"1023",0.059,42
"1024",0.059,20
"1025",0.055,30
"1026",0.059,42
"1027",0.05,28
"1028",0.048,10
"1029",0.05,28
"1030",0.059,42
"1038",0.076,65
"1039",0.062,40
"1040",0.088,77
"1041",0.072,45
"1042",0.06,30
"1044",0.063,30
"1045",0.08,86
"1046",0.099,85
"1047",0.063,21
"1048",0.07,68
"1049",0.044,22
"1052",0.045,32
"1053",0.055,34
"1054",0.049,20
"1055",0.055,60
"1056",0.066,30
"1058",0.042,25
"1059",0.047,28
"1060",0.058,45
"1061",0.049,20
"1062",0.078,60
"1063",0.063,70
"1064",0.049,20
"1065",0.048,13
"1066",0.065,90
"1067",0.065,90
"1068",0.049,20
"1071",0.051,40
"1072",0.06,50
"1075",0.027,21
"1076",0.039,20
"1077",0.039,20
"1078",0.039,20
"1079",0.039,20
"1080",0.039,20
"1081",0.039,20
"1082",0.039,20
"1083",0.039,20
"1084",0.039,20
"1085",0.039,20
"1086",0.039,20
"1087",0.039,20
"1088",0.058,60
"1089",0.058,35
"1090",0.066,75
"1091",0.073,70
"1092",0.06,60
"1093",0.058,60
"1094",0.073,70
"1095",0.051,32
"1096",0.066,75
"1098",0.051,17
"1102",0.068,90
"1103",0.065,22
"1104",0.05,10
"1105",0.046,27
"1106",0.065,80
"1107",0.054,45
"1108",0.048,32
"1109",0.055,42
"1110",0.059,27
"1111",0.058,58
"1112",0.07,75
"1113",0.055,20
"1114",0.045,20
"1115",0.068,55
"1116",0.053,28
"1119",0.052,18
"1120",0.048,15
"1121",0.072,80
"1122",0.067,65
"1123",0.049,45
"1126",0.055,37
"1139",0.05,15
"1140",0.05,50
"1141",0.093,90
"1142",0.052,15
"1144",0.075,24
"1145",0.052,16
"1146",0.058,25
"1147",0.055,40
"1148",0.055,25
"1149",0.047,20
"1150",0.066,20
"1151",0.095,85
"1152",0.049,45
"1153",0.052,15
"1154",0.066,70
"1155",0.057,19
"1156",0.06,64
"1157",0.055,23
"1159",0.05,15
"1162",0.065,11
"1163",0.065,65
"1164",0.065,65
"1165",0.055,50
"1166",0.065,65
"1167",0.065,11
"1177",0.06,70
"1178",0.057,10
"1180",0.063,65
"1181",0.048,11
"1182",0.046,18
"1183",0.046,18
"1184",0.046,18
"1185",0.046,18
"1186",0.04,9
"1188",0.054,15
"1189",0.072,100
"1190",0.066,30
"1191",0.048,28
"1196",0.05,12
"1197",0.048,9
"1198",0.064,66
"1199",0.064,95
"1200",0.056,70
"1207",0.052,30
"1208",0.06,30
"1209",0.058,40
"1210",0.057,42
"1211",0.052,20
"1212",0.065,75
"1213",0.057,40
"1216",0.057,47
"1217",0.058,11
"1218",0.061,30
"1219",0.059,42
"1220",0.046,30
"1221",0.072,33
"1222",0.04,8
"1223",0.046,30
"1224",0.046,8
"1225",0.048,20
"1228",0.062,65
"1229",0.056,55
"1230",0.052,29
"1234",0.038,18
"1235",0.051,31
"1237",0.053,20
"1241",0.051,32
"1245",0.043,18
"1247",0.079,18
"1248",0.047,11
"1249",0.05,40
"1250",0.069,70
"1251",0.07,32
"1252",0.06,30
"1253",0.051,20
"1254",0.055,13
"1255",0.051,20
"1262",0.045,21
"1265",0.05,18
"1266",0.09,30
"1267",0.06,14
"1268",0.085,85
"1269",0.099,93
"1270",0.08,88
"1271",0.06,25
"1272",0.095,49
"1273",0.066,44
"1281",0.05,20
"1282",0.065,47
"1283",0.05,35
"1289",0.065,60
"1291",0.065,60
"1297",0.05,12
"1302",0.051,20
"1307",0.06,24
"1308",0.05,12
"1309",0.068,68
"1310",0.055,15
"1311",0.045,18
"1312",0.057,30
"1313",0.062,65
"1314",0.037,34
"1315",0.037,21
"1316",0.037,53
"1320",0.072,75
"1321",0.072,75
"1322",0.042,22
"1323",0.052,27
"1324",0.052,23
"1325",0.054,42
"1326",0.053,11
"1327",0.053,30
"1328",0.071,62
"1329",0.053,16
"1331",0.063,61
"1332",0.063,61
"1333",0.048,12
"1334",0.05,24
"1335",0.057,70
"1336",0.08,100
"1337",0.075,85
"1338",0.06,24
"1339",0.08,100
"1340",0.063,30
"1341",0.058,28
"1347",0.043,8
"1355",0.087,80
"1356",0.051,24
"1357",0.075,51
"1358",0.065,20
"1360",0.048,18
"1361",0.051,24
"1376",0.068,66
"1377",0.048,44
"1378",0.092,75
"1386",0.075,85
"1387",0.068,75
"1388",0.052,50
"1389",0.067,75
"1390",0.055,30
"1391",0.047,46
"1392",0.058,40
"1393",0.065,115
"1398",0.056,28
"1399",0.06,49
"1400",0.056,18
"1401",0.049,24
"1402",0.047,14
"1403",0.046,24
"1404",0.05,35
